Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
74,Salida en largo,2026-06-02 10:45,Scripted Exit All,7616.75,1,380025,812.5,0.21,837.5,0.22,-650,-0.17,25012.5,250.13,38
74,Entrada en largo,2026-06-02 07:35,Scripted Long,7600.5,1,380025,812.5,0.21,837.5,0.22,-650,-0.17,25012.5,250.13,38
75,Salida en corto,2026-06-02 19:10,Scripted Exit All,7616.25,1,381162.5,350,0.09,362.5,0.10,-187.5,-0.05,25362.5,253.63,13
75,Entrada en corto,2026-06-02 18:05,Scripted Short,7623.25,1,381162.5,350,0.09,362.5,0.10,-187.5,-0.05,25362.5,253.63,13
76,Salida en largo,2026-06-02 20:55,Scripted Exit All,7625.5,1,380812.5,462.5,0.12,537.5,0.14,-37.5,-0.01,25825,258.25,15
76,Entrada en largo,2026-06-02 19:40,Scripted Long,7616.25,1,380812.5,462.5,0.12,537.5,0.14,-37.5,-0.01,25825,258.25,15
77,Salida en corto,2026-06-03 02:10,Scripted Exit All,7618.75,1,381125,187.5,0.05,250,0.07,-100,-0.03,26012.5,260.13,15
77,Entrada en corto,2026-06-03 00:55,Scripted Short,7622.5,1,381125,187.5,0.05,250,0.07,-100,-0.03,26012.5,260.13,15
78,Salida en corto,2026-06-03 16:15,Scripted Exit All,7567.25,1,378887.5,525,0.14,587.5,0.16,-250,-0.07,26537.5,265.38,14
78,Entrada en corto,2026-06-03 15:05,Scripted Short,7577.75,1,378887.5,525,0.14,587.5,0.16,-250,-0.07,26537.5,265.38,14
79,Salida en largo,2026-06-04 10:25,Scripted Exit All,7569.5,1,377200,1275,0.34,1275,0.34,-975,-0.26,27812.5,278.13,58
79,Entrada en largo,2026-06-04 05:35,Scripted Long,7544,1,377200,1275,0.34,1275,0.34,-975,-0.26,27812.5,278.13,58
80,Salida en largo,2026-06-05 06:55,Scripted Short,7569.25,1,379300,-837.5,-0.22,37.5,0.01,-1962.5,-0.52,26975,269.75,143
80,Entrada en largo,2026-06-04 19:00,Scripted Long,7586,1,379300,-837.5,-0.22,37.5,0.01,-1962.5,-0.52,26975,269.75,143
81,Salida en corto,2026-06-05 08:05,Scripted Exit All,7561,1,378462.5,412.5,0.11,487.5,0.13,-87.5,-0.02,27387.5,273.88,14
81,Entrada en corto,2026-06-05 06:55,Scripted Short,7569.25,1,378462.5,412.5,0.11,487.5,0.13,-87.5,-0.02,27387.5,273.88,14
82,Salida en largo,2026-06-07 21:30,Scripted Short,7393,1,378087.5,-8437.5,-2.23,12.5,0.00,-10312.5,-2.73,18950,189.50,140
82,Entrada en largo,2026-06-05 08:50,Scripted Long,7561.75,1,378087.5,-8437.5,-2.23,12.5,0.00,-10312.5,-2.73,18950,189.50,140
83,Salida en corto,2026-06-08 13:30,Scripted Long,7442.5,1,369650,-2475,-0.67,437.5,0.12,-4187.5,-1.13,16475,164.75,192
83,Entrada en corto,2026-06-07 21:30,Scripted Short,7393,1,369650,-2475,-0.67,437.5,0.12,-4187.5,-1.13,16475,164.75,192
84,Salida en largo,2026-06-09 05:30,Scripted Exit All,7449.5,1,372125,350,0.09,412.5,0.11,-2612.5,-0.70,16825,168.25,180
84,Entrada en largo,2026-06-08 13:30,Scripted Long,7442.5,1,372125,350,0.09,412.5,0.11,-2612.5,-0.70,16825,168.25,180
85,Salida en corto,2026-06-09 10:45,Scripted Exit All,7407.75,1,373262.5,2875,0.77,2987.5,0.80,-350,-0.09,19700,197.00,9
85,Entrada en corto,2026-06-09 10:00,Scripted Short,7465.25,1,373262.5,2875,0.77,2987.5,0.80,-350,-0.09,19700,197.00,9
86,Salida en largo,2026-06-10 09:50,Scripted Exit All,7386.75,1,368337.5,1000,0.27,1187.5,0.32,-3062.5,-0.83,20700,207.00,100
86,Entrada en largo,2026-06-10 01:30,Scripted Long,7366.75,1,368337.5,1000,0.27,1187.5,0.32,-3062.5,-0.83,20700,207.00,100
87,Salida en corto,2026-06-10 22:35,Scripted Exit All,7276.25,1,364700,887.5,0.24,1062.5,0.29,-150,-0.04,21587.5,215.88,9
87,Entrada en corto,2026-06-10 21:50,Scripted Short,7294,1,364700,887.5,0.24,1062.5,0.29,-150,-0.04,21587.5,215.88,9
88,Salida en largo,2026-06-11 15:20,Scripted Exit All,7393.75,1,366412.5,3275,0.89,3312.5,0.90,-3262.5,-0.89,24862.5,248.63,93
88,Entrada en largo,2026-06-11 07:35,Scripted Long,7328.25,1,366412.5,3275,0.89,3312.5,0.90,-3262.5,-0.89,24862.5,248.63,93
89,Salida en corto,2026-06-12 10:10,Scripted Long,7418.25,1,370600,-312.5,-0.08,2275,0.61,-1962.5,-0.53,24550,245.50,66
89,Entrada en corto,2026-06-12 04:40,Scripted Short,7412,1,370600,-312.5,-0.08,2275,0.61,-1962.5,-0.53,24550,245.50,66
90,Salida en largo,2026-06-12 11:25,Scripted Exit All,7459.75,1,370912.5,2075,0.56,2162.5,0.58,-1487.5,-0.40,26625,266.25,15
90,Entrada en largo,2026-06-12 10:10,Scripted Long,7418.25,1,370912.5,2075,0.56,2162.5,0.58,-1487.5,-0.40,26625,266.25,15
91,Salida en corto,2026-06-15 15:50,Scripted Long,7629.5,1,371312.5,-10162.5,-2.74,1400,0.38,-11125,-3.00,16462.5,164.63,325
91,Entrada en corto,2026-06-12 11:45,Scripted Short,7426.25,1,371312.5,-10162.5,-2.74,1400,0.38,-11125,-3.00,16462.5,164.63,325
92,Salida en largo,2026-06-16 00:10,Scripted Short,7621.5,1,381475,-400,-0.10,112.5,0.03,-875,-0.23,16062.5,160.63,88
92,Entrada en largo,2026-06-15 15:50,Scripted Long,7629.5,1,381475,-400,-0.10,112.5,0.03,-875,-0.23,16062.5,160.63,88
93,Salida en corto,2026-06-16 11:50,Scripted Exit All,7604.25,1,381075,862.5,0.23,1125,0.30,-762.5,-0.20,16925,169.25,140
93,Entrada en corto,2026-06-16 00:10,Scripted Short,7621.5,1,381075,862.5,0.23,1125,0.30,-762.5,-0.20,16925,169.25,140
94,Salida en corto,2026-06-18 00:30,Scripted Exit All,7546.5,1,377537.5,212.5,0.06,300,0.08,-525,-0.14,17137.5,171.38,42
94,Entrada en corto,2026-06-17 21:00,Scripted Short,7550.75,1,377537.5,212.5,0.06,300,0.08,-525,-0.14,17137.5,171.38,42
95,Salida en corto,2026-06-18 21:35,Scripted Exit All,7553.25,1,377825,162.5,0.04,1287.5,0.34,-1325,-0.35,17300,173.00,193
95,Entrada en corto,2026-06-18 04:30,Scripted Short,7556.5,1,377825,162.5,0.04,1287.5,0.34,-1325,-0.35,17300,173.00,193
96,Salida en largo,2026-06-19 11:05,Scripted Exit All,7565.75,1,377225,1062.5,0.28,1125,0.30,-562.5,-0.15,18362.5,183.63,40
96,Entrada en largo,2026-06-19 07:45,Scripted Long,7544.5,1,377225,1062.5,0.28,1125,0.30,-562.5,-0.15,18362.5,183.63,40
