Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,PyG netas %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %
19,Entrada en largo,2025-09-19 04:45,Scripted Long,62.83,1,62830,230,0.37,390,0.62,-290,-0.46,2240,22.40
20,Salida en largo,2025-09-22 13:45,Scripted Short,62.39,1,62510,-120,-0.19,490,0.78,-900,-1.44,2120,21.20
20,Entrada en largo,2025-09-19 11:30,Scripted Long,62.51,1,62510,-120,-0.19,490,0.78,-900,-1.44,2120,21.20
21,Salida en corto,2025-09-22 21:15,Scripted Exit All,62.19,1,62390,200,0.32,310,0.50,-10,-0.02,2320,23.20
21,Entrada en corto,2025-09-22 13:45,Scripted Short,62.39,1,62390,200,0.32,310,0.50,-10,-0.02,2320,23.20
22,Salida en largo,2025-09-30 11:45,Scripted Short,62.98,1,64830,-1850,-2.85,200,0.31,-2800,-4.32,470,4.70
22,Entrada en largo,2025-09-29 04:15,Scripted Long,64.83,1,64830,-1850,-2.85,200,0.31,-2800,-4.32,470,4.70
23,Salida en corto,2025-09-30 13:30,Scripted Exit All,62.61,1,62980,370,0.59,420,0.67,-40,-0.06,840,8.40
23,Entrada en corto,2025-09-30 11:45,Scripted Short,62.98,1,62980,370,0.59,420,0.67,-40,-0.06,840,8.40
24,Salida en largo,2025-10-06 10:00,Scripted Exit All,61.9,1,60830,1070,1.76,1290,2.12,-280,-0.46,1910,19.10
24,Entrada en largo,2025-10-03 06:00,Scripted Long,60.83,1,60830,1070,1.76,1290,2.12,-280,-0.46,1910,19.10
25,Salida en corto,2025-10-08 10:00,Scripted Exit All,62.23,1,62570,340,0.54,460,0.74,-240,-0.38,2250,22.50
25,Entrada en corto,2025-10-08 05:30,Scripted Short,62.57,1,62570,340,0.54,460,0.74,-240,-0.38,2250,22.50
26,Salida en largo,2025-10-13 10:00,Scripted Exit All,59.77,1,59380,390,0.66,420,0.71,-170,-0.29,2640,26.40
26,Entrada en largo,2025-10-13 08:30,Scripted Long,59.38,1,59380,390,0.66,420,0.71,-170,-0.29,2640,26.40
27,Salida en corto,2025-10-14 23:00,Scripted Exit All,58.46,1,58740,280,0.48,370,0.63,-240,-0.41,2920,29.20
27,Entrada en corto,2025-10-14 12:45,Scripted Short,58.74,1,58740,280,0.48,370,0.63,-240,-0.41,2920,29.20
28,Salida en corto,2025-10-20 21:30,Scripted Exit All,56.63,1,57010,380,0.67,1050,1.84,-420,-0.74,3300,33.00
28,Entrada en corto,2025-10-17 07:15,Scripted Short,57.01,1,57010,380,0.67,1050,1.84,-420,-0.74,3300,33.00
29,Salida en corto,2025-10-22 11:30,Scripted Exit All,58.34,1,58730,390,0.66,420,0.72,-50,-0.09,3690,36.90
29,Entrada en corto,2025-10-22 10:00,Scripted Short,58.73,1,58730,390,0.66,420,0.72,-50,-0.09,3690,36.90
30,Salida en corto,2025-10-22 13:45,Scripted Exit All,58.45,1,58820,370,0.63,570,0.97,-100,-0.17,4060,40.60
30,Entrada en corto,2025-10-22 11:45,Scripted Short,58.82,1,58820,370,0.63,570,0.97,-100,-0.17,4060,40.60
31,Salida en corto,2025-10-28 03:45,Scripted Long,61,1,58900,-2100,-3.57,80,0.14,-3690,-6.26,1960,19.60
31,Entrada en corto,2025-10-22 15:15,Scripted Short,58.9,1,58900,-2100,-3.57,80,0.14,-3690,-6.26,1960,19.60
32,Salida en largo,2025-11-02 18:15,Scripted Short,61.34,1,61000,340,0.56,480,0.79,-1360,-2.23,2300,23.00
32,Entrada en largo,2025-10-28 03:45,Scripted Long,61,1,61000,340,0.56,480,0.79,-1360,-2.23,2300,23.00
33,Salida en corto,2025-11-03 03:30,Scripted Exit All,61.07,1,61340,270,0.44,280,0.46,-160,-0.26,2570,25.70
33,Entrada en corto,2025-11-02 18:15,Scripted Short,61.34,1,61340,270,0.44,280,0.46,-160,-0.26,2570,25.70
34,Salida en corto,2025-11-10 05:30,Scripted Exit All,60.16,1,60450,290,0.48,320,0.53,-10,-0.02,2860,28.60
34,Entrada en corto,2025-11-10 04:45,Scripted Short,60.45,1,60450,290,0.48,320,0.53,-10,-0.02,2860,28.60
35,Salida en largo,2025-11-10 09:15,Scripted Exit All,60.19,1,59850,340,0.57,370,0.62,-70,-0.12,3200,32.00
35,Entrada en largo,2025-11-10 05:45,Scripted Long,59.85,1,59850,340,0.57,370,0.62,-70,-0.12,3200,32.00
36,Salida en largo,2025-11-13 18:30,Scripted Exit All,58.9,1,58610,290,0.49,290,0.49,-80,-0.14,3490,34.90
36,Entrada en largo,2025-11-13 13:45,Scripted Long,58.61,1,58610,290,0.49,290,0.49,-80,-0.14,3490,34.90
37,Salida en corto,2025-11-20 01:00,Scripted Exit All,59.4,1,60350,950,1.57,1690,2.80,-500,-0.83,4440,44.40
37,Entrada en corto,2025-11-14 05:30,Scripted Short,60.35,1,60350,950,1.57,1690,2.80,-500,-0.83,4440,44.40
38,Salida en corto,2025-11-20 11:15,Scripted Exit All,59.63,1,59660,30,0.05,160,0.27,-440,-0.74,4470,44.70
38,Entrada en corto,2025-11-20 03:30,Scripted Short,59.66,1,59660,30,0.05,160,0.27,-440,-0.74,4470,44.70
39,Salida en largo,2025-11-21 04:15,Scripted Exit All,58.26,1,57830,430,0.74,470,0.81,-80,-0.14,4900,49.00
39,Entrada en largo,2025-11-21 02:45,Scripted Long,57.83,1,57830,430,0.74,470,0.81,-80,-0.14,4900,49.00
40,Salida en largo,2025-11-21 07:30,Scripted Short,58.3,1,57730,570,0.99,860,1.49,-310,-0.54,5470,54.70
40,Entrada en largo,2025-11-21 05:00,Scripted Long,57.73,1,57730,570,0.99,860,1.49,-310,-0.54,5470,54.70
41,Salida en corto,2025-11-24 02:30,Scripted Exit All,57.91,1,58300,390,0.67,920,1.58,-310,-0.53,5860,58.60
41,Entrada en corto,2025-11-21 07:30,Scripted Short,58.3,1,58300,390,0.67,920,1.58,-310,-0.53,5860,58.60
42,Salida en largo,2025-11-26 11:30,Scripted Exit All,58.06,1,57870,190,0.33,340,0.59,-210,-0.36,6050,60.50
42,Entrada en largo,2025-11-26 03:00,Scripted Long,57.87,1,57870,190,0.33,340,0.59,-210,-0.36,6050,60.50
43,Salida en corto,2025-11-28 08:45,Scripted Long,58.9,1,59050,150,0.25,470,0.80,-120,-0.20,6200,62.00
43,Entrada en corto,2025-11-27 13:00,Scripted Short,59.05,1,59050,150,0.25,470,0.80,-120,-0.20,6200,62.00
44,Salida en largo,2025-11-28 09:45,Scripted Short,59.2,1,58900,300,0.51,300,0.51,-140,-0.24,6500,65.00
44,Entrada en largo,2025-11-28 08:45,Scripted Long,58.9,1,58900,300,0.51,300,0.51,-140,-0.24,6500,65.00
45,Salida en corto,2025-11-28 14:15,Scripted Long,58.95,1,59200,250,0.42,300,0.51,-440,-0.74,6750,67.50
45,Entrada en corto,2025-11-28 09:45,Scripted Short,59.2,1,59200,250,0.42,300,0.51,-440,-0.74,6750,67.50
46,Salida en largo,2025-12-01 10:15,Scripted Exit All,59.56,1,58950,610,1.03,1020,1.73,-680,-1.15,7360,73.60
