Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
147,Salida en largo,2026-07-10 06:35,Scripted Exit All,7588.5,1,378950,475,0.13,512.5,0.14,-525,-0.14,32250,322.50,54
147,Entrada en largo,2026-07-10 02:05,Scripted Long,7579,1,378950,475,0.13,512.5,0.14,-525,-0.14,32250,322.50,54
148,Salida en largo,2026-07-14 02:25,Scripted Short,7570,1,380637.5,-2137.5,-0.56,87.5,0.02,-4062.5,-1.07,30112.5,301.13,350
148,Entrada en largo,2026-07-12 20:15,Scripted Long,7612.75,1,380637.5,-2137.5,-0.56,87.5,0.02,-4062.5,-1.07,30112.5,301.13,350
149,Salida en corto,2026-07-14 02:55,Scripted Exit All,7560.25,1,378500,487.5,0.13,487.5,0.13,-25,-0.01,30600,306.00,6
149,Entrada en corto,2026-07-14 02:25,Scripted Short,7570,1,378500,487.5,0.13,487.5,0.13,-25,-0.01,30600,306.00,6
150,Salida en corto,2026-07-15 05:00,Scripted Long,7606.75,1,378312.5,-2025,-0.54,487.5,0.13,-2362.5,-0.62,28575,285.75,221
150,Entrada en corto,2026-07-14 09:35,Scripted Short,7566.25,1,378312.5,-2025,-0.54,487.5,0.13,-2362.5,-0.62,28575,285.75,221
151,Salida en largo,2026-07-15 10:10,Scripted Exit All,7620.75,1,380337.5,700,0.18,975,0.26,-712.5,-0.19,29275,292.75,62
151,Entrada en largo,2026-07-15 05:00,Scripted Long,7606.75,1,380337.5,700,0.18,975,0.26,-712.5,-0.19,29275,292.75,62
152,Salida en corto,2026-07-15 12:05,Scripted Exit All,7590.5,1,380387.5,862.5,0.23,1025,0.27,-550,-0.14,30137.5,301.38,20
152,Entrada en corto,2026-07-15 10:25,Scripted Short,7607.75,1,380387.5,862.5,0.23,1025,0.27,-550,-0.14,30137.5,301.38,20
153,Salida en corto,2026-07-16 03:30,Scripted Exit All,7610.75,1,380962.5,425,0.11,537.5,0.14,-637.5,-0.17,30562.5,305.63,84
153,Entrada en corto,2026-07-15 20:30,Scripted Short,7619.25,1,380962.5,425,0.11,537.5,0.14,-637.5,-0.17,30562.5,305.63,84
154,Salida en corto,2026-07-17 09:00,Scripted Exit All,7504.5,1,375587.5,362.5,0.10,462.5,0.12,-437.5,-0.12,30925,309.25,20
154,Entrada en corto,2026-07-17 07:20,Scripted Short,7511.75,1,375587.5,362.5,0.10,462.5,0.12,-437.5,-0.12,30925,309.25,20
155,Salida en largo,2026-07-17 10:20,Scripted Exit All,7531.5,1,374787.5,1787.5,0.48,2162.5,0.58,-12.5,0.00,32712.5,327.13,6
155,Entrada en largo,2026-07-17 09:50,Scripted Long,7495.75,1,374787.5,1787.5,0.48,2162.5,0.58,-12.5,0.00,32712.5,327.13,6
156,Salida en corto,2026-07-17 15:15,Scripted Exit All,7492.25,1,375700,1087.5,0.29,1087.5,0.29,-137.5,-0.04,33800,338.00,16
156,Entrada en corto,2026-07-17 13:55,Scripted Short,7514,1,375700,1087.5,0.29,1087.5,0.29,-137.5,-0.04,33800,338.00,16
157,Salida en largo,2026-07-17 16:55,Apertura,7494.75,1,375262.5,-525,-0.14,200,0.05,-1062.5,-0.28,33275,332.75,13
157,Entrada en largo,2026-07-17 15:50,Scripted Long,7505.25,1,375262.5,-525,-0.14,200,0.05,-1062.5,-0.28,33275,332.75,13
