Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duración (barras)
16,Salida en corto,2026-03-27 03:20,Scripted Exit All,1.15705,1,144750,118.75,0.08,125,0.09,-12.5,-0.01,281.25,2.81,9
16,Entrada en corto,2026-03-27 02:35,Scripted Short,1.158,1,144750,118.75,0.08,125,0.09,-12.5,-0.01,281.25,2.81,9
17,Salida en corto,2026-03-31 07:10,Scripted Exit All,1.14995,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,356.25,3.56,46
17,Entrada en corto,2026-03-31 03:20,Scripted Short,1.15055,1,143818.75,75,0.05,93.75,0.07,-131.25,-0.09,356.25,3.56,46
18,Salida en largo,2026-03-31 20:10,Scripted Exit All,1.16105,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,475,4.75,10
18,Entrada en largo,2026-03-31 19:20,Scripted Long,1.1601,1,145012.5,118.75,0.08,143.75,0.10,0,0.00,475,4.75,10
19,Salida en largo,2026-04-01 01:30,Scripted Exit All,1.1611,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,593.75,5.94,9
19,Entrada en largo,2026-04-01 00:45,Scripted Long,1.16015,1,145018.75,118.75,0.08,118.75,0.08,0,0.00,593.75,5.94,9
20,Salida en largo,2026-04-01 04:30,Scripted Exit All,1.16385,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,862.5,8.63,25
20,Entrada en largo,2026-04-01 02:25,Scripted Long,1.1617,1,145212.5,268.75,0.19,268.75,0.19,-18.75,-0.01,862.5,8.63,25
21,Salida en largo,2026-04-01 07:55,Scripted Exit All,1.1645,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,987.5,9.88,19
21,Entrada en largo,2026-04-01 06:20,Scripted Long,1.1635,1,145437.5,125,0.09,131.25,0.09,-31.25,-0.02,987.5,9.88,19
