Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
63,Salida en largo,2026-05-26 03:05,Scripted Short,1.16395,1,145725,-231.25,-0.16,81.25,0.06,-250,-0.17,2300,23.00,351
63,Entrada en largo,2026-05-24 20:50,Scripted Long,1.1658,1,145725,-231.25,-0.16,81.25,0.06,-250,-0.17,2300,23.00,351
64,Salida en corto,2026-05-26 11:20,Scripted Exit All,1.1631,1,145493.75,106.25,0.07,143.75,0.10,-206.25,-0.14,2406.25,24.06,99
64,Entrada en corto,2026-05-26 03:05,Scripted Short,1.16395,1,145493.75,106.25,0.07,143.75,0.10,-206.25,-0.14,2406.25,24.06,99
65,Salida en largo,2026-05-27 01:05,Scripted Exit All,1.16535,1,145612.5,56.25,0.04,62.5,0.04,-75,-0.05,2462.5,24.63,58
65,Entrada en largo,2026-05-26 20:15,Scripted Long,1.1649,1,145612.5,56.25,0.04,62.5,0.04,-75,-0.05,2462.5,24.63,58
66,Salida en largo,2026-05-27 08:35,Scripted Exit All,1.1667,1,145706.25,131.25,0.09,187.5,0.13,-162.5,-0.11,2593.75,25.94,70
66,Entrada en largo,2026-05-27 02:45,Scripted Long,1.16565,1,145706.25,131.25,0.09,187.5,0.13,-162.5,-0.11,2593.75,25.94,70
67,Salida en largo,2026-05-28 08:45,Scripted Exit All,1.16415,1,145331.25,187.5,0.13,206.25,0.14,-25,-0.02,2781.25,27.81,10
67,Entrada en largo,2026-05-28 07:55,Scripted Long,1.16265,1,145331.25,187.5,0.13,206.25,0.14,-25,-0.02,2781.25,27.81,10
68,Salida en largo,2026-05-28 12:35,Scripted Exit All,1.16675,1,145687.5,156.25,0.11,193.75,0.13,-50,-0.03,2937.5,29.38,28
68,Entrada en largo,2026-05-28 10:15,Scripted Long,1.1655,1,145687.5,156.25,0.11,193.75,0.13,-50,-0.03,2937.5,29.38,28
69,Salida en largo,2026-05-29 11:15,Scripted Exit All,1.16845,1,145775,281.25,0.19,306.25,0.21,0,0.00,3218.75,32.19,5
69,Entrada en largo,2026-05-29 10:50,Scripted Long,1.1662,1,145775,281.25,0.19,306.25,0.21,0,0.00,3218.75,32.19,5
70,Salida en largo,2026-06-01 19:50,Scripted Exit All,1.16425,1,145500,31.25,0.02,37.5,0.03,-6.25,0.00,3250,32.50,19
70,Entrada en largo,2026-06-01 18:15,Scripted Long,1.164,1,145500,31.25,0.02,37.5,0.03,-6.25,0.00,3250,32.50,19
71,Salida en largo,2026-06-02 01:05,Scripted Exit All,1.1646,1,145531.25,43.75,0.03,50,0.03,-87.5,-0.06,3293.75,32.94,46
71,Entrada en largo,2026-06-01 21:15,Scripted Long,1.16425,1,145531.25,43.75,0.03,50,0.03,-87.5,-0.06,3293.75,32.94,46
72,Salida en largo,2026-06-02 02:25,Scripted Exit All,1.1654,1,145568.75,106.25,0.07,112.5,0.08,-6.25,0.00,3400,34.00,4
72,Entrada en largo,2026-06-02 02:05,Scripted Long,1.16455,1,145568.75,106.25,0.07,112.5,0.08,-6.25,0.00,3400,34.00,4
73,Salida en corto,2026-06-05 08:45,Scripted Exit All,1.1611,1,145200,62.5,0.04,81.25,0.06,-406.25,-0.28,3462.5,34.63,150
73,Entrada en corto,2026-06-04 20:15,Scripted Short,1.1616,1,145200,62.5,0.04,81.25,0.06,-406.25,-0.28,3462.5,34.63,150
