Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
33,Salida en largo,2026-06-24 19:45,Scripted Exit All,7474.5,1,373175,550,0.15,1650,0.44,-2962.5,-0.79,937.5,9.38,110
33,Entrada en largo,2026-06-24 09:35,Scripted Long,7463.5,1,373175,550,0.15,1650,0.44,-2962.5,-0.79,937.5,9.38,110
34,Salida en largo,2026-06-25 19:25,Scripted Exit All,7449.5,1,371325,1150,0.31,1375,0.37,-100,-0.03,2087.5,20.88,4
34,Entrada en largo,2026-06-25 19:05,Scripted Long,7426.5,1,371325,1150,0.31,1375,0.37,-100,-0.03,2087.5,20.88,4
35,Salida en corto,2026-06-25 21:30,Scripted Exit All,7417.75,1,371525,637.5,0.17,962.5,0.26,-212.5,-0.06,2725,27.25,21
35,Entrada en corto,2026-06-25 19:45,Scripted Short,7430.5,1,371525,637.5,0.17,962.5,0.26,-212.5,-0.06,2725,27.25,21
36,Salida en largo,2026-06-29 04:25,Scripted Exit All,7459.25,1,372512.5,450,0.12,675,0.18,-175,-0.05,3175,31.75,11
36,Entrada en largo,2026-06-29 03:30,Scripted Long,7450.25,1,372512.5,450,0.12,675,0.18,-175,-0.05,3175,31.75,11
37,Salida en corto,2026-07-06 09:30,Scripted Long,7564.75,1,377812.5,-425,-0.11,225,0.06,-425,-0.11,2750,27.50,13
37,Entrada en corto,2026-07-06 08:25,Scripted Short,7556.25,1,377812.5,-425,-0.11,225,0.06,-425,-0.11,2750,27.50,13
38,Salida en largo,2026-07-06 10:50,Scripted Exit All,7576.5,1,378237.5,587.5,0.16,812.5,0.21,-612.5,-0.16,3337.5,33.38,16
38,Entrada en largo,2026-07-06 09:30,Scripted Long,7564.75,1,378237.5,587.5,0.16,812.5,0.21,-612.5,-0.16,3337.5,33.38,16
