Trade number,Tipo,Fecha y hora,Señal,Precio USD,Tamaño (cant.),Tamaño de la posición (valor),PyG netas USD,Rentabilidad %,Desviación favorable USD,Desviación favorable %,Desviación adversa USD,Desviación adversa %,PyG acumuladas USD,PyG acumuladas %,Duration (bars)
8,Salida en corto,2026-04-12 18:05,Scripted Exit All,0.0062925,1,78687.5,31.25,0.04,62.5,0.08,-937.5,-1.19,-237.5,-2.37,856
8,Entrada en corto,2026-04-07 14:45,Scripted Short,0.006295,1,78687.5,31.25,0.04,62.5,0.08,-937.5,-1.19,-237.5,-2.37,856
9,Salida en corto,2026-04-13 08:00,Scripted Exit All,0.0062895,1,78675,56.25,0.07,56.25,0.07,-81.25,-0.10,-181.25,-1.81,91
9,Entrada en corto,2026-04-13 00:25,Scripted Short,0.006294,1,78675,56.25,0.07,56.25,0.07,-81.25,-0.10,-181.25,-1.81,91
10,Salida en corto,2026-04-22 16:05,Scripted Exit All,0.006296,1,78712.5,12.5,0.02,68.75,0.09,-987.5,-1.25,-168.75,-1.69,1991
10,Entrada en corto,2026-04-13 11:10,Scripted Short,0.006297,1,78712.5,12.5,0.02,68.75,0.09,-987.5,-1.25,-168.75,-1.69,1991
11,Salida en corto,2026-04-23 13:10,Scripted Exit All,0.0062895,1,78662.5,43.75,0.06,43.75,0.06,-143.75,-0.18,-125,-1.25,47
11,Entrada en corto,2026-04-23 09:15,Scripted Short,0.006293,1,78662.5,43.75,0.06,43.75,0.06,-143.75,-0.18,-125,-1.25,47
12,Salida en corto,2026-04-24 08:55,Scripted Exit All,0.0062925,1,78718.75,62.5,0.08,81.25,0.10,0,0.00,-62.5,-0.62,5
12,Entrada en corto,2026-04-24 08:30,Scripted Short,0.0062975,1,78718.75,62.5,0.08,81.25,0.10,0,0.00,-62.5,-0.62,5
13,Salida en corto,2026-04-27 02:25,Scripted Exit All,0.006298,1,78762.5,37.5,0.05,125,0.16,-106.25,-0.13,-25,-0.25,144
13,Entrada en corto,2026-04-24 13:25,Scripted Short,0.006301,1,78762.5,37.5,0.05,125,0.16,-106.25,-0.13,-25,-0.25,144
14,Salida en corto,2026-04-27 12:30,Scripted Exit All,0.006302,1,78856.25,81.25,0.10,93.75,0.12,-31.25,-0.04,56.25,0.56,81
14,Entrada en corto,2026-04-27 05:45,Scripted Short,0.0063085,1,78856.25,81.25,0.10,93.75,0.12,-31.25,-0.04,56.25,0.56,81
15,Salida en corto,2026-04-28 11:00,Scripted Exit All,0.006286,1,78643.75,68.75,0.09,87.5,0.11,-12.5,-0.02,125,1.25,9
15,Entrada en corto,2026-04-28 10:15,Scripted Short,0.0062915,1,78643.75,68.75,0.09,87.5,0.11,-12.5,-0.02,125,1.25,9
16,Salida en corto,2026-04-29 22:30,Scripted Exit All,0.0062595,1,78306.25,62.5,0.08,68.75,0.09,-12.5,-0.02,187.5,1.88,21
16,Entrada en corto,2026-04-29 20:45,Scripted Short,0.0062645,1,78306.25,62.5,0.08,68.75,0.09,-12.5,-0.02,187.5,1.88,21
17,Salida en corto,2026-05-01 05:30,Scripted Exit All,0.0064025,1,80193.75,162.5,0.20,162.5,0.20,-68.75,-0.09,350,3.50,28
17,Entrada en corto,2026-05-01 03:10,Scripted Short,0.0064155,1,80193.75,162.5,0.20,162.5,0.20,-68.75,-0.09,350,3.50,28
18,Salida en corto,2026-05-05 05:00,Scripted Exit All,0.006379,1,79768.75,31.25,0.04,31.25,0.04,-81.25,-0.10,381.25,3.81,18
18,Entrada en corto,2026-05-05 03:30,Scripted Short,0.0063815,1,79768.75,31.25,0.04,31.25,0.04,-81.25,-0.10,381.25,3.81,18
19,Salida en corto,2026-05-06 03:15,Scripted Exit All,0.0064095,1,80350,231.25,0.29,231.25,0.29,-12.5,-0.02,612.5,6.13,25
19,Entrada en corto,2026-05-06 01:10,Scripted Short,0.006428,1,80350,231.25,0.29,231.25,0.29,-12.5,-0.02,612.5,6.13,25
20,Salida en corto,2026-05-06 19:45,Scripted Exit All,0.006413,1,80181.25,18.75,0.02,37.5,0.05,-75,-0.09,631.25,6.31,24
20,Entrada en corto,2026-05-06 16:45,Scripted Short,0.0064145,1,80181.25,18.75,0.02,37.5,0.05,-75,-0.09,631.25,6.31,24
21,Salida en corto,2026-05-06 23:15,Scripted Exit All,0.0064155,1,80262.5,68.75,0.09,75,0.09,-37.5,-0.05,700,7.00,15
21,Entrada en corto,2026-05-06 22:00,Scripted Short,0.006421,1,80262.5,68.75,0.09,75,0.09,-37.5,-0.05,700,7.00,15
22,Salida en corto,2026-05-07 05:10,Scripted Exit All,0.006415,1,80256.25,68.75,0.09,87.5,0.11,-31.25,-0.04,768.75,7.69,17
22,Entrada en corto,2026-05-07 03:45,Scripted Short,0.0064205,1,80256.25,68.75,0.09,87.5,0.11,-31.25,-0.04,768.75,7.69,17
23,Salida en corto,2026-05-07 12:10,Scripted Exit All,0.0064075,1,80193.75,100,0.12,112.5,0.14,-100,-0.12,868.75,8.69,31
23,Entrada en corto,2026-05-07 09:35,Scripted Short,0.0064155,1,80193.75,100,0.12,112.5,0.14,-100,-0.12,868.75,8.69,31
24,Salida en corto,2026-05-10 20:50,Scripted Exit All,0.0063885,1,79943.75,87.5,0.11,118.75,0.15,-206.25,-0.26,956.25,9.56,239
24,Entrada en corto,2026-05-07 23:55,Scripted Short,0.0063955,1,79943.75,87.5,0.11,118.75,0.15,-206.25,-0.26,956.25,9.56,239
25,Salida en corto,2026-05-11 13:00,Scripted Exit All,0.006382,1,79825,50,0.06,56.25,0.07,-37.5,-0.05,1006.25,10.06,34
25,Entrada en corto,2026-05-11 10:10,Scripted Short,0.006386,1,79825,50,0.06,56.25,0.07,-37.5,-0.05,1006.25,10.06,34
26,Salida en corto,2026-05-12 21:15,Scripted Exit All,0.0063565,1,79531.25,75,0.09,87.5,0.11,-25,-0.03,1081.25,10.81,51
26,Entrada en corto,2026-05-12 16:00,Scripted Short,0.0063625,1,79531.25,75,0.09,87.5,0.11,-25,-0.03,1081.25,10.81,51
27,Salida en corto,2026-05-13 08:55,Scripted Exit All,0.006352,1,79437.5,37.5,0.05,112.5,0.14,-6.25,-0.01,1118.75,11.19,8
27,Entrada en corto,2026-05-13 08:15,Scripted Short,0.006355,1,79437.5,37.5,0.05,112.5,0.14,-6.25,-0.01,1118.75,11.19,8
28,Salida en corto,2026-05-13 22:25,Scripted Exit All,0.006347,1,79393.75,56.25,0.07,56.25,0.07,-18.75,-0.02,1175,11.75,33
28,Entrada en corto,2026-05-13 19:40,Scripted Short,0.0063515,1,79393.75,56.25,0.07,56.25,0.07,-18.75,-0.02,1175,11.75,33
29,Salida en corto,2026-05-14 12:45,Scripted Exit All,0.006337,1,79362.5,150,0.19,156.25,0.20,-293.75,-0.37,1325,13.25,140
29,Entrada en corto,2026-05-14 01:05,Scripted Short,0.006349,1,79362.5,150,0.19,156.25,0.20,-293.75,-0.37,1325,13.25,140
30,Salida en corto,2026-05-15 10:05,Scripted Exit All,0.006316,1,79031.25,81.25,0.10,93.75,0.12,-131.25,-0.17,1406.25,14.06,62
30,Entrada en corto,2026-05-15 04:55,Scripted Short,0.0063225,1,79031.25,81.25,0.10,93.75,0.12,-131.25,-0.17,1406.25,14.06,62
31,Salida en corto,2026-05-18 14:50,Scripted Exit All,0.006303,1,78825,37.5,0.05,43.75,0.06,-175,-0.22,1443.75,14.44,139
31,Entrada en corto,2026-05-18 03:15,Scripted Short,0.006306,1,78825,37.5,0.05,43.75,0.06,-175,-0.22,1443.75,14.44,139
